accession	measurementType	technologyType	Factors
OSD-320	transcription profiling	DNA microarray	Genotype;Time of sample collection after treatment;Ionizing Radiation
OSD-321	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype
OSD-322	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Time of Sample Collection After Treatment
OSD-323	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Infection
OSD-324	transcription profiling	DNA microarray	Spaceflight;Time
OSD-326	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-329	transcription profiling	DNA microarray	Genotype;Organism Part;Ionizing Radiation;Time of Sample Collection After Treatment
OSD-331	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-334	transcription profiling	miRNA Sequencing	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-335	transcription profiling	miRNA Sequencing	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-336	transcription profiling	miRNA Sequencing	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-337	transcription profiling	miRNA Sequencing	Hindlimb Unloading;Ionizing Radiation;Particle Charge
OSD-340	genome sequencing	nucleotide sequencing	Genotype;Ionizing Radiation;Absorbed Radiation Dose
OSD-342	protein expression profiling	protein microarray	Spaceflight;Treatment;Dissection Timeline
OSD-343	metabolite profiling	mass spectrometry	Spaceflight;Tissue
OSD-344	transcription profiling	real time PCR	Spaceflight;Developmental Stage
OSD-345	protein expression profiling	mass spectrometry	Spaceflight;Time
OSD-346	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Spaceflight;Altered Gravity;Treatment
OSD-347	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype
OSD-350	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-351	Bone Microstructure	Micro-Computed Tomography	Spaceflight;Tissue
OSD-352	Chromatin Accessibility	single-cell ATAC-seq	Spaceflight
OSD-352	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-352	transcription profiling	single-cell RNA sequencing	Spaceflight
OSD-352	transcription profiling	spatial transcriptomics	Spaceflight
OSD-353	protein expression profiling	mass spectrometry	Spaceflight;Bed Rest;Time;Dry Immersion
OSD-354	transcription profiling	microarray	Hindlimb Unloading;Age
OSD-355	transcription profiling	miRNA sequencing	Time;Altered Gravity
OSD-356	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Microgravity Simulation;Time
OSD-358	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Organism Part
OSD-359	protein expression profiling	mass spectrometry	Spaceflight;Time
OSD-360	metabolite profiling	mass spectrometry	Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-361	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-362	transcription profiling	RNA Sequencing (RNA-Seq)	Strain;Treatment
OSD-363	transcription profiling	real time PCR	Intracranial Pressure
OSD-364	transcription profiling	real time PCR	Intracranial Pressure
OSD-366	Genome-Wide Association Study	Genome-Wide Association Study	Strain;Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment;Group ID
OSD-366	Molecular Cellular Imaging	Immunostaining	Strain;Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment;Group ID
OSD-367	transcription profiling	DNA microarray	Ionizing Radiation;Radiation Distance
OSD-368	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment
OSD-369	transcription profiling	DNA microarray	Ionizing Radiation
OSD-370	transcription profiling	DNA microarray	Bed Rest;Time;Treatment
OSD-372	genome sequencing	nucleotide sequencing	Spaceflight;Collection Date;Sample Location
OSD-373	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation;Treatment
OSD-374	DNA methylation profiling	DIP-seq	Ionizing Radiation
OSD-374	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation
OSD-375	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Accession;Organism Part
OSD-379	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Euthanasia Location;Dissection Condition;Age
OSD-383	genome sequencing	nucleotide sequencing	Spaceflight
OSD-385	Amplicon Sequencing	16S	Treatment;Seed Sanitization;Organism Part
OSD-386	Amplicon Sequencing	16S	Treatment;Seed Sanitization;Organism Part
OSD-391	genome sequencing	nucleotide sequencing	Sample Location
OSD-396	transcription profiling	DNA microarray	Spaceflight;Treatment
OSD-397	DNA methylation profiling	Reduced-Representation Bisulfite Sequencing	Spaceflight
OSD-397	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-400	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-401	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Tissue
OSD-402	transcription profiling	single-cell RNA Sequencing	Spaceflight;Age
OSD-403	transcription profiling	single-cell RNA Sequencing	Spaceflight;Age
OSD-404	transcription profiling	single-cell RNA Sequencing	Spaceflight;Age
OSD-405	transcription profiling	single-cell RNA Sequencing	Spaceflight;Age
OSD-406	transcription profiling	RNA Sequencing (RNA-Seq)	Spacecraft;Altered Gravity;Ecotype;Genotype
OSD-410	transcription profiling	DNA microarray	Time of Sample Collection after Treatment;Ionizing Radiation;Absorbed Radiation Dose
OSD-411	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Organism Part;Treatment
OSD-412	Amplicon Sequencing	16S	Spaceflight;Organism Part
OSD-413	amplicon sequencing	16S	Spaceflight;Organism Part
OSD-414	Amplicon Sequencing	16S	Spaceflight;Organism Part
OSD-415	transcription profiling	DNA microarray	Hindlimb Unloading
OSD-416	DNA methylation profiling	Bisulfite sequencing	Spaceflight;Genotype;Organism Part
OSD-417	Amplicon Sequencing	16S	Spaceflight;Time;Euthanasia Location
OSD-417	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Time;Euthanasia Location
OSD-417	metabolite profiling	mass spectrometry	Spaceflight;Time;Euthanasia Location
OSD-418	transcription profiling	RNA Sequencing (RNA-Seq)	Partial Weight Bearing
OSD-419	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-420	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-421	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-422	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-423	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-425	transcription profiling	DNA microarray	Spaceflight;Genotype;Generation;Altered Gravity
OSD-426	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity;Treatment
OSD-426	transcription profiling	miRNA Sequencing	Spaceflight;Altered Gravity;Treatment
OSD-427	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype;Organism part
OSD-428	transcription profiling	DNA microarray	Altered Gravity;Time
OSD-430	transcription profiling	DNA microarray	Spaceflight;Treatment
OSD-431	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-432	transcription profiling	DNA microarray	Ionizing Radiation;Genotype;Treatment
OSD-434	transcription profiling	DNA microarray	Altered Gravity;Time
OSD-435	Echocardiogram	Ultrasonography	Ionizing Radiation;Absorbed Radiation Dose;Time Post-Irradiation
OSD-436	transcription profiling	DNA microarray	Altered Gravity;Time
OSD-437	transcription profiling	RNA Sequencing (RNA-Seq)	Age;Altered Gravity;Spaceflight
OSD-450	transcription profiling	DNA microarray	Altered Gravity;Time
OSD-452	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment
OSD-455	transcription profiling	DNA microarray	Time of Sample Collection after Treatment;Absorbed Radiation Dose;Ionizing Radiation
OSD-457	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Tissue;Genotype
OSD-462	phosphoprotein profiling	mass spectrometry	Spaceflight
OSD-462	protein expression profiling	mass spectrometry	Spaceflight
OSD-462	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-463	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-464	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-465	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight
OSD-466	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Genotype
OSD-467	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading
OSD-469	transcription profiling	DNA microarray	Spaceflight;Genotype;Light Cycle
OSD-470	genome sequencing	nucleotide sequencing	Spaceflight
OSD-471	Bone Microstructure	Micro-Computed Tomography	Spaceflight
OSD-476	Morphometric analysis	Image analysis	Treatment
OSD-476	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment
OSD-477	Bone Microstructure	Micro-Computed Tomography	Partial Weight Bearing;Time
OSD-477	Bone biomechanical measurement	Bone biomechanical measurement	Partial Weight Bearing;Time
OSD-477	Histological Assay	Histomorphometry	Partial Weight Bearing;Time
OSD-478	Behavior	Gait	Spaceflight;Time
OSD-479	Behavior	Elevated Plus Maze	Sex;Ionizing Radiation;Treatment;Absorbed Radiation Dose
OSD-479	Behavior	Novel Object Recognition	Sex;Ionizing Radiation;Treatment;Absorbed Radiation Dose
OSD-479	Behavior	Open Field	Sex;Ionizing Radiation;Treatment;Absorbed Radiation Dose
OSD-479	Behavior	RAWM	Sex;Ionizing Radiation;Treatment;Absorbed Radiation Dose
OSD-479	Behavior	Three Chamber Social Isolation	Sex;Ionizing Radiation;Treatment;Absorbed Radiation Dose
OSD-480	transcription profiling	RNA Sequencing (RNA-Seq)	Organism Part;Altered Gravity;Genotype;Spaceflight;Treatment
OSD-481	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-483	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-484	transcription profiling	DNA microarray	Treatment
OSD-485	transcription profiling	DNA microarray	Altered Gravity;Parabola;Time
OSD-486	Bone Microstructure	Micro-Computed Tomography	Spaceflight
OSD-487	Amplicon Sequencing	16S	Spaceflight;Sample Condition
OSD-488	Calcium Uptake	Spectrofluorimetric Assay	Spaceflight;Tissue;Space Mission
OSD-488	protein quantification	Western Blot	Spaceflight;Tissue;Space Mission
OSD-489	Bone Microstructure	Micro-Computed Tomography	Spaceflight
OSD-490	Behavior	Elevated Plus Maze	Age;Ionizing Radiation;absorbed radiation dose
OSD-492	Behavior	Novel Object Recognition	Absorbed Radiation Dose;Ionizing Radiation
OSD-496	protein-DNA binding site identification	ChIP-seq	Genotype;antibody;Ionizing Radiation;Time of Sample Collection After Treatment
OSD-497	genome sequencing	nucleotide sequencing	Strain
OSD-498	transcription profiling	RNA Sequencing (RNA-Seq)	Time of Sample Collection after Treatment;Ionizing Radiation
OSD-500	protein expression profiling	mass spectrometry	Spaceflight
OSD-502	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Ionizing Radiation
OSD-505	protein expression profiling	mass spectrometry	Ionizing Radiation
OSD-506	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-508	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Time of Sample Collection After Treatment;Genotype
OSD-509	Targeted Genome Sequencing	long read DNA Sequencing	Spaceflight;Genotype
OSD-510	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Time of Sample Collection After Treatment;Genotype
OSD-511	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Age
OSD-512	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-513	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-514	protein expression profiling	mass spectrometry	Sex;Spaceflight;Altered Gravity
OSD-514	transcription profiling	RNA Sequencing (RNA-Seq)	Sex;Spaceflight;Altered Gravity
OSD-515	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-518	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Treatment
OSD-519	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Organism Part;Treatment;Time
OSD-520	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Generation;Ionizing Radiation
OSD-522	protein expression profiling	mass spectrometry	Organism Part;Spaceflight
OSD-522	transcription profiling	RNA Sequencing (RNA-Seq)	Organism Part;Spaceflight
OSD-524	DNA methylation profiling	Bisulfite sequencing	Ionizing Radiation;Generation
OSD-525	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-528	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-530	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-531	transcription profiling	DNA microarray	Treatment;Time;Tissue segment
OSD-532	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-536	transcription profiling	DNA microarray	Spaceflight
OSD-539	transcription profiling	RNA Sequencing (RNA-Seq)	Sex;Treatment
OSD-540	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading
OSD-542	transcription profiling	DNA microarray	Time
OSD-545	transcription profiling	DNA microarray	Ionizing Radiation;Microgravity Simulation
OSD-546	transcription profiling	DNA microarray	Spaceflight;Treatment
OSD-547	transcription profiling	DNA microarray	Altered Gravity
OSD-548	transcription profiling	DNA microarray	Hindlimb Unloading
OSD-554	transcription profiling	RNA Sequencing (RNA-Seq)	Growth Environment;Time;Spaceflight
OSD-557	Bone Microstructure	Micro-Computed Tomography	Spaceflight
OSD-557	Histological Assay	Light Microscopy	Spaceflight
OSD-557	Molecular Cellular Imaging	Immunostaining	Spaceflight
OSD-561	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Euthanasia Location;Age
OSD-561	transcription profiling	spatial transcriptomics	Spaceflight;Euthanasia Location;Age
OSD-562	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Euthanasia Location;Age
OSD-562	transcription profiling	spatial transcriptomics	Spaceflight;Euthanasia Location;Age
OSD-563	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-563	transcription profiling	spatial transcriptomics	Spaceflight
OSD-564	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-564	transcription profiling	spatial transcriptomics	Spaceflight
OSD-565	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment;Organism Part;Microgravity Simulation
OSD-566	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Sex
OSD-568	Molecular Cellular Imaging	Microscopy	Spaceflight
OSD-569	Complete Blood Count	Hematology Analyzer	Time;Spaceflight
OSD-569	Targeted Genome Sequencing	nucleotide sequencing	Time;Spaceflight
OSD-569	genome sequencing	nucleotide sequencing	Time;Spaceflight
OSD-569	transcription profiling	RNA Sequencing (RNA-Seq)	Time;Spaceflight
OSD-569	transcription profiling	long read RNA Sequencing	Time;Spaceflight
OSD-570	Chromatin Accessibility	single-cell ATAC-seq	Time;Spaceflight
OSD-570	transcription profiling	single-cell RNA sequencing	Time;Spaceflight
OSD-571	genome sequencing	nucleotide sequencing	Spaceflight;Time
OSD-571	metabolite profiling	mass spectrometry	Spaceflight;Time
OSD-571	protein expression profiling	mass spectrometry	Spaceflight;Time
OSD-571	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-572	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Time;Sample Location
OSD-572	metatranscriptome sequencing assay	RNA Sequencing (RNA-Seq)	Spaceflight;Time;Sample Location
OSD-573	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Time;Sample Location;Spaceflight
OSD-573	metatranscriptome sequencing assay	RNA Sequencing (RNA-Seq)	Time;Sample Location;Spaceflight
OSD-574	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Time
OSD-574	metatranscriptome sequencing assay	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-574	transcription profiling	spatial transcriptomics	Spaceflight;Time
OSD-575	Analytical Chemistry	Comprehensive Metabolic Panel	Time;Spaceflight
OSD-575	Immunoassay	Multiplex	Time;Spaceflight
OSD-576	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-577	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Treatment;Tissue Model
OSD-580	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Age;Euthanasia Location
OSD-581	protein expression profiling	mass spectrometry	soil environment exposure;Organism Part
OSD-582	genome sequencing	nucleotide sequencing	Spaceflight
OSD-583	Intraocular Pressure	Tonometry	Spaceflight
OSD-588	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype;Developmental Stage;Infection
OSD-590	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;ionizing radiation device or source
OSD-591	Molecular Cellular Imaging	Microscopy	Ionizing Radiation;absorbed radiation dose;Time
OSD-591	protein quantification	Western Blot	Ionizing Radiation;absorbed radiation dose;Time
OSD-592	Molecular Cellular Imaging	Immunohistochemistry	Altered Gravity;Sex;Spaceflight
OSD-594	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Organism Part;Treatment
OSD-595	Behavior	Video Recording	Altered Gravity;Spaceflight
OSD-596	Behavior	Locomotory Behavior	Altered Gravity;Spaceflight;Sex
OSD-599	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-608	Bone Microstructure	Peripheral Quantitative Computed Tomography	Partial Weight Bearing;Time
OSD-609	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-610	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-611	DNA methylation profiling	DIP-seq	Ionizing Radiation;Absorbed Radiation Dose
OSD-611	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Absorbed Radiation Dose
OSD-612	Chromatin Accessibility	single-cell ATAC-seq	Spaceflight
OSD-612	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-612	transcription profiling	single-cell RNA sequencing	Spaceflight
OSD-613	Chromatin Accessibility	single-cell ATAC-seq	Spaceflight;Age
OSD-613	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Age
OSD-613	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-615	Glycomic Profile	ELISA	Spaceflight;Growth Time
OSD-616	Muscle Force	Force Plate	Altered Gravity;Time;Sex;Treatment
OSD-617	Estrous Cycle	Cytology	Altered Gravity;Time;Treatment
OSD-618	Behavior	Balance	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	Behavior	Elevated Plus Maze	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	Behavior	Novel Object Recognition	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	Behavior	Open Field	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	Behavior	RAWM	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	Behavior	Three Chamber Social Isolation	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-622	transcription profiling	DNA microarray	Spaceflight;Age at sample harvest;Gravity environment at imbibition;duration
OSD-624	transcription profiling	RNA Sequencing (RNA-Seq)	Time;Altered Gravity;Organism Part
OSD-625	Targeted DNA Methylation Profiling	CCS long read DNA Enzymatic Methyl Sequencing	Spaceflight;Genotype
OSD-627	Molecular Cellular Imaging	Confocal	Spaceflight;Growth Environment;Time
OSD-628	Molecular Cellular Imaging	Confocal	Spaceflight;Growth Environment;Time
OSD-630	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Time
OSD-635	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-640	Flow Cytometry	Flow Cytometry	Hindlimb Unloading;Sex;Housing Condition;Ionizing Radiation
OSD-652	Muscle Force	Force Transducer	Time;Sex;Treatment;Altered Gravity
OSD-653	Bone Microstructure	Peripheral Quantitative Computed Tomography	Altered Gravity;Time;Sex;Treatment
OSD-654	Bone Microstructure	Dual-Energy X-Ray Absorptiometry	Spaceflight;Space Mission;Genotype
OSD-654	Bone Microstructure	Micro-Computed Tomography	Spaceflight;Space Mission;Genotype
OSD-655	Chemical Methods	Oxygen Radical Absorbance Capacity	Light Color;Payload;Harvest;Spaceflight;Treatment
OSD-655	Chemical Methods	Phenolic Compound Content	Light Color;Payload;Harvest;Spaceflight;Treatment
OSD-655	Spectrochemical Analysis	Inductively Coupled Plasma Optical Emission Spectroscopy	Light Color;Payload;Harvest;Spaceflight;Treatment
OSD-656	Immunoassay	Multiplex	Time;Spaceflight
OSD-658	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Absorbed Radiation Dose
OSD-660	protein quantification	Western Blot	Spaceflight
OSD-661	Bone Microstructure	Dual-Energy X-Ray Absorptiometry	Hindlimb Unloading;Genotype
OSD-662	Molecular Cellular Imaging	Microscopy	Spaceflight;Space Mission;Genotype;Treatment
OSD-662	Muscle Contraction	Contractility	Spaceflight;Space Mission;Genotype;Treatment
OSD-662	protein quantification	Western Blot	Spaceflight;Space Mission;Genotype;Treatment
OSD-663	Bone Microstructure	Dual-Energy X-Ray Absorptiometry	Spaceflight;Space Mission
OSD-663	protein quantification	Western Blot	Spaceflight;Space Mission
OSD-664	protein quantification	Western Blot	Spaceflight
OSD-665	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-666	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-667	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype
OSD-670	Image Analysis	Photography	Substrate Type
OSD-678	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Ecotype;Treatment;Genotype
OSD-679	Intraocular Pressure	Tonometry	Age;Sex;Hindlimb Unloading;Hindlimb Unloading Duration;Hindlimb Reloading Duration;Carbon Dioxide Treatment
OSD-679	Ophthalmologic Diagnostic Technique	Optical Coherence Tomography	Age;Sex;Hindlimb Unloading;Hindlimb Unloading Duration;Hindlimb Reloading Duration;Carbon Dioxide Treatment
OSD-679	Ophthalmologic Diagnostic Technique	Ultrasonography	Age;Sex;Hindlimb Unloading;Hindlimb Unloading Duration;Hindlimb Reloading Duration;Carbon Dioxide Treatment
OSD-679	Tomography	Magnetic Resonance Imaging	Age;Sex;Hindlimb Unloading;Hindlimb Unloading Duration;Hindlimb Reloading Duration;Carbon Dioxide Treatment
OSD-680	Tomography	Magnetic Resonance Imaging	Age;Sex;Hindlimb Unloading
OSD-681	Body Temperature	Biotelemetry	Age;Sex;Hindlimb Unloading;Carbon Dioxide Treatment
OSD-681	Intracranial Pressure	Biotelemetry	Age;Sex;Hindlimb Unloading;Carbon Dioxide Treatment
OSD-682	transcription profiling	spatial transcriptomics	Treatment;Spaceflight
OSD-683	protein expression profiling	mass spectrometry	Microgravity Simulation;Growth Environment
OSD-684	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Donor Age
OSD-685	transcription profiling	spatial transcriptomics	Treatment;Spaceflight
OSD-686	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-687	protein-DNA binding site identification	ChIC-seq (Chromatin Immunocleavage Sequencing)	Spaceflight;Input Cell Count;Histone Modification Target;Vendor
OSD-689	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment;Sex;Microgravity Simulation
OSD-689	transcription profiling	single-cell RNA sequencing	Treatment;Sex;Microgravity Simulation
OSD-690	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype
OSD-691	ATPase Activity	Spectrophotometry	Spaceflight;Treatment
OSD-691	protein quantification	Western Blot	Spaceflight;Treatment
OSD-694	Amplicon Sequencing	16S	Spaceflight;Treatment;Relative Humidity
OSD-694	Amplicon Sequencing	ITS	Spaceflight;Treatment;Relative Humidity
OSD-698	transcription profiling	spatial transcriptomics	Spaceflight;Treatment
OSD-699	transcription profiling	spatial transcriptomics	Treatment;Spaceflight
OSD-701	metatranscriptome sequencing assay	RNA Sequencing (RNA-Seq)	Relative Humidity
OSD-702	Mechanical Tests	Atomic Force Microscopy	Spaceflight
OSD-714	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity;Space Mission
OSD-715	protein expression profiling	mass spectrometry	Spaceflight
OSD-718	Mechanical Tests	Atomic Force Microscopy	Spaceflight
OSD-719	transcription profiling	RNA Sequencing (RNA-Seq)	Sex;Ionizing Radiation
OSD-720	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Sex;Time of Sample Collection After Treatment
OSD-722	transcription profiling	DNA microarray	Microgravity Simulation;Treatment;Time
OSD-723	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Organism Part;Growth Time;Treatment;Growth Medium
OSD-728	genome sequencing	nucleotide sequencing	Microgravity Simulation;Time;Growth Medium
OSD-728	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation;Time;Growth Medium
OSD-734	Amplicon Sequencing	16S	Spaceflight;Sample Location
OSD-734	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Sample Location
OSD-734	metabolite profiling	mass spectrometry	Spaceflight;Sample Location
OSD-738	Immunoassay	ECLIA	Spaceflight
OSD-738	protein quantification	Western Blot	Spaceflight
OSD-742	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Age;Duration;Euthanasia Location;Spaceflight;Dissection Condition
OSD-745	Chemical Methods	Anthocyanin Content	Spaceflight;Payload
OSD-745	Chemical Methods	Oxygen Radical Absorbance Capacity	Spaceflight;Payload
OSD-745	Chemical Methods	Phenolic Compound Content	Spaceflight;Payload
OSD-745	Image Analysis	Photography	Spaceflight;Payload
OSD-745	Spectrochemical Analysis	Inductively Coupled Plasma Optical Emission Spectroscopy	Spaceflight;Payload
OSD-751	Immunoassay	ECLIA	Spaceflight
OSD-752	Immunoassay	ECLIA	Spaceflight
OSD-758	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-759	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-766	Amplicon Sequencing	16S	Spaceflight;light regimen;Organism Part
OSD-766	Amplicon Sequencing	ITS	Spaceflight;light regimen;Organism Part
OSD-767	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;light regimen;Organism Part
OSD-770	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-771	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Age;Euthanasia Location
OSD-772	Amplicon Sequencing	16S	Spaceflight;Organism Part;Sample Location
OSD-773	Amplicon Sequencing	16S	Spaceflight
OSD-773	Amplicon Sequencing	ITS	Spaceflight
OSD-776	Flow Cytometry	Flow Cytometry	Sex;Ionizing Radiation;Treatment;Time of Sample Collection After Irradiation
OSD-777	Flow Cytometry	Flow Cytometry	Sex;Ionizing Radiation;Diet Treatment;Treatment Dose;Treatment Days Post-Irradiation;Treatment
OSD-778	Flow Cytometry	Flow Cytometry	Ionizing Radiation;Diet Treatment;Treatment Dose;Treatment Days Post-Irradiation;Treatment;Time of Sample Collection After Irradiation
OSD-780	Microbiology Procedure	Plate Count Assay	Light Color;Payload;Harvest;Organism Part;Spaceflight;Cleaning Treatment;Treatment
OSD-781	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Treatment
OSD-782	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-783	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment
OSD-784	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment
OSD-787	transcription profiling	RNA Sequencing (RNA-Seq)	Sex;Disease State
OSD-788	protein expression profiling	mass spectrometry	Microgravity Simulation;Growth Environment
